Date,Berambadi_Temple_Tank_ cm
2023-01-27,-280.8333333
2023-02-09,-290.2666667
2023-02-22,-304.3333333
2023-03-09,-316.4666667
2023-03-21,-324.8
2023-04-08,-333.9333333
2023-04-24,-346.3666667
2023-05-11,-335.5666667
2023-05-30,-334.5333333
2023-06-14,-344.3
2023-06-27,-348.7666667
2023-08-02,-346.3333333
2023-08-16,-350.1333333
2023-08-29,-353.9666667
